"","measure","Year","Waterway 1","Waterway 2","Waterway 3","Waterway 4"
"1","1,2,3-Trichlorobenzene","2008",0.00171470588235294,0,0,0
"2","1,2,3-Trichlorobenzene","2009",0.001,0,0,0
"3","1,2,4-Trichlorobenzene","2008",0.001,0,0,0
"4","1,2,4-Trichlorobenzene","2009",0.001,0,0,0
"5","Acenaphthene","2008",0.00405941176470588,0,0,0
"6","Acenaphthene","2009",0.003,0,0,0
"7","Acenaphthylene","2008",0.004,0,0,0
"8","Acenaphthylene","2009",0.004,0,0,0
"9","AGOC-3A","2014",0.446344,0.422627906976744,0,0
"10","AGOC-3A","2015",3.72807339449541,0.489055555555556,0,0
"11","AGOC-3A","2016",0.237844827586207,0.290155555555556,0,0
"12","Alachlor","2005",0.117924242424242,0.0881875,0,0
"13","Alachlor","2006",0.22828901734104,0.19,0,0
"14","Alachlor","2007",0.0812080924855491,0.0806041666666667,0,0
"15","Alachlor","2009",0.025,0.025,0,0
"16","Aldrin","2005",0.0104109589041096,0.0282702702702703,0,0
"17","Aldrin","2006",0.102774834437086,0.100710526315789,0,0
"18","Aldrin","2007",0.0255317919075145,0.0268541666666667,0,0
"19","Aldrin","2008",0.0255923076923077,0.025,0,0
"20","Aldrin","2009",0.00394230769230769,0.018,0.009,0
"21","alpha-Hexachlorocyclohexane","2005",0.0326804733727811,0.0438372093023256,0,0
"22","alpha-Hexachlorocyclohexane","2006",0.0147037037037037,0.0156470588235294,0,0
"23","alpha-Hexachlorocyclohexane","2007",0.00895375722543353,0.00828260869565217,0,0
"24","alpha-Hexachlorocyclohexane","2012",0.01,0,0,0
"25","Aluminium","2008",37.0923076923077,48.3285714285714,0,0
"26","Aluminium","2009",168.625,163.805555555556,0,0
"27","Aluminium","2010",68.1428571428571,83.75,0,0
"28","Aluminium","2014",0,0,0,0
"29","Ammonium","1998",0.453235294117647,0.499444444444444,0,0
"30","Ammonium","1999",0.504173228346457,0.664897959183673,0,0
"31","Ammonium","2000",0.654656488549618,0.6575,0,0
"32","Ammonium","2001",0.453070175438597,0.328837209302326,0,0
"33","Ammonium","2002",0.531315789473684,0.2916,0,0
"34","Ammonium","2003",0.502627659574468,0.519166666666667,0,0
"35","Ammonium","2004",0.410516304347826,0.380744186046512,0,0
"36","Ammonium","2005",0.451024509803922,0.391083333333333,0,0
"37","Ammonium","2006",0.512048258706468,0.5565,0,0
"38","Ammonium","2007",0.455125555555556,0.370908333333333,0,0
"39","Ammonium","2008",0.473939459459459,0.360197916666667,0,0
"40","Ammonium","2009",0.467038461538462,0.185565079365079,0.6235,0.143666666666667
"41","Ammonium","2010",0.386005102040816,0.195933333333333,1.11804166666667,0.651833333333333
"42","Ammonium","2011",0.346756038647343,0.151144444444444,0.287909090909091,0.135166666666667
"43","Ammonium","2012",0.297433516483517,0.154690361445783,0.777347826086957,0.17925
"44","Ammonium","2013",0.274641397849462,0.143813513513514,1.20976923076923,0.186954545454545
"45","Ammonium","2014",0.328071320754717,0.210297027027027,5.80271428571429,0.370192307692308
"46","Ammonium","2015",0.21777962962963,0.213878378378378,1.05516666666667,0.312192307692308
"47","Ammonium","2016",0.147341509433962,0.105527027027027,1.06025,0.132884615384615
"48","Anionic active surfactants","1999",0.0538095238095238,0.0826666666666667,0,0
"49","Anionic active surfactants","2000",0.0829770992366412,0.0952083333333333,0,0
"50","Anionic active surfactants","2001",0.0856862745098039,0.140697674418605,0,0
"51","Anionic active surfactants","2002",0.089,0.062,0,0
"52","Anionic active surfactants","2003",0.0390762711864407,0.0432727272727273,0,0
"53","Anionic active surfactants","2004",0.0268785714285714,0,0,0
"54","Anionic active surfactants","2005",0.0407421052631579,0.0525055555555556,0,0
"55","Anionic active surfactants","2006",0.0696229007633588,0.0954741935483871,0,0
"56","Anionic active surfactants","2007",0.0821740740740741,0.11130119047619,0,0
"57","Anionic active surfactants","2008",0.0659632258064516,0.100520833333333,0,0
"58","Anionic active surfactants","2009",0.0665518518518518,0.0836152542372881,0.0717777777777778,0.031125
"59","Anionic active surfactants","2010",0.0781707547169811,0.0600733333333333,0.158333333333333,0.035625
"60","Anionic active surfactants","2011",0.00140845070422535,0,0.0236666666666667,0
"61","Anionic active surfactants","2012",0,0.0374615384615385,0.023,0
"62","Anionic active surfactants","2013",0.0716952380952381,0,0.0241616666666667,0
"63","Anionic active surfactants","2014",0.106731958762887,0,0.023075,0
"64","Anionic active surfactants","2015",0.0943333333333333,0,0,0
"65","Anionic active surfactants","2016",0.105822916666667,0,0,0.021
"66","Anthracene","2008",0.00871082352941177,0,0,0
"67","Anthracene","2009",0.0056156862745098,0.00783333333333333,0.002,0
"68","AOX","1998",0,0,0,0
"69","AOX","2008",17.2837209302326,23.5571428571429,0,0
"70","AOX","2009",0,0,0,0
"71","AOX","2010",21.3883720930233,0,0,0
"72","AOX","2013",25.875,0,0,0
"73","AOX","2016",17.9,0,0,0
"74","Arsenic","1998",0,0,0,0
"75","Arsenic","2004",0.847,0.622,0,0
"76","Arsenic","2008",0.519482142857143,0.4975,0,0
"77","Arsenic","2009",1.0458064516129,1.05170731707317,0,1.01
"78","Arsenic","2010",1.25485714285714,1.03433333333333,0,0
"79","Arsenic","2011",1.41659090909091,1.32222222222222,2.26,1
"80","Arsenic","2012",0.753333333333333,0.865,0,0
"81","Arsenic","2013",0.482352941176471,0.35,0,0
"82","Arsenic","2014",1.23224050632911,1.72608695652174,0,1.83
"83","Arsenic","2015",1.89166666666667,2.275,4.4678,2.054
"84","Arsenic","2016",2.21081081081081,2.19166666666667,0,2.61666666666667
"85","Atrazine","1998",0,0,0,0
"86","Atrazine","1999",0,0.0433333333333333,0,0
"87","Atrazine","2000",0.0423529411764706,0.04,0,0
"88","Atrazine","2001",0.0208518518518519,0.0199130434782609,0,0
"89","Atrazine","2002",0,0,0,0
"90","Atrazine","2003",0,0,0,0
"91","Atrazine","2004",0.0576666666666667,0.073,0,0
"92","Atrazine","2005",0.070425,0.069741935483871,0,0
"93","Atrazine","2006",0.145765714285714,0.149659090909091,0,0
"94","Atrazine","2007",0.0736763005780347,0.0751041666666667,0,0
"95","Atrazine","2008",0.5,0.5,0,0
"96","Atrazine","2009",0.5,0.5,0.05,0
"97","Atrazine","2010",0.5,0.5,0,0
"98","Atrazine","2012",0,0,0,0
"99","Atrazine","2013",0,0,0,0
"100","Atrazine","2014",0.0147952,0.00349180327868852,0,0
"101","Atrazine","2015",0,0,0,0
"102","Atrazine","2016",0,0,0,0
"103","Barium","2008",23.5934782608696,24.929,0,0
"104","Barium","2009",48.2352941176471,57,0,0
"105","Barium","2012",28,28,0,0
"106","Benzo(a)anthracene","2008",0.00378823529411765,0,0,0
"107","Benzo(a)anthracene","2009",0.00288235294117647,0,0.0035,0
"108","Benzo(a)pyrene","2003",0.001,0.001,0,0
"109","Benzo(a)pyrene","2008",0.00754176470588235,0,0,0
"110","Benzo(a)pyrene","2009",0.00617647058823529,0,0.002,0
"111","Benzo(b)fluoranthene","2003",0.001,0.001,0,0
"112","Benzo(b)fluoranthene","2008",0.00807411764705882,0,0,0
"113","Benzo(b)fluoranthene","2009",0.00617647058823529,0.00933333333333333,0.0021,0
"114","Benzo(g,h,i)perylene","2003",0.001,0.0015,0,0
"115","Benzo(g,h,i)perylene","2009",0.004,0.004,0.002,0
"116","Benzo(k)fluoranthene","2003",0.001,0.001,0,0
"117","Benzo(k)fluoranthene","2008",0.00753647058823529,0,0,0
"118","Benzo(k)fluoranthene","2009",0.00617647058823529,0,0.0021,0
"119","Berilium","2012",0,0,0,0
"120","beta-Hexaxchlorocyclohexane","2005",0.0937584269662921,0.107911111111111,0,0
"121","beta-Hexaxchlorocyclohexane","2006",0.0448789808917197,0.0363421052631579,0,0
"122","beta-Hexaxchlorocyclohexane","2007",0.00991329479768786,0.006125,0,0
"123","Bicarbonates","1999",202.080909090909,188.124666666667,0,0
"124","Bicarbonates","2000",173.702290076336,157.666666666667,0,0
"125","Bicarbonates","2001",179.469298245614,157.317906976744,0,0
"126","Bicarbonates","2002",156.529473684211,134.978,0,0
"127","Bicarbonates","2003",180.765245901639,176.5625,0,0
"128","Bicarbonates","2004",181.166560509554,155.648837209302,0,0
"129","Bicarbonates","2005",190.594345232143,185.116665229167,0,0
"130","Bicarbonates","2006",194.924848484848,204.302222222222,0,0
"131","Bicarbonates","2007",188.411283783784,188.491666666667,0,0
"132","Bicarbonates","2008",200.012894736842,200.291875,0,0
"133","Bicarbonates","2009",185.965753424658,133.472,279.009090909091,143.97
"134","Bicarbonates","2010",185.286511627907,0,323.725,0
"135","Bicarbonates","2011",185.344487179487,191.451041666667,226.408333333333,175.14
"136","Bicarbonates","2012",190.746818181818,0,235.563636363636,0
"137","Bicarbonates","2013",198.891458333333,0,253.898333333333,0
"138","Bicarbonates","2014",179.483888888889,166.056904761905,239.072272727273,150.316333333333
"139","Bicarbonates","2015",188.541625,175.218780487805,230.029083333333,180.731
"140","Bicarbonates","2016",185.674024691358,177.105714285714,242.98425,141.788888888889
"141","Biochemical Oxygen","1998",4.12617647058824,3.445,0,0
"142","Biochemical Oxygen","1999",3.92629921259843,3.66551020408163,0,0
"143","Biochemical Oxygen","2000",4.40229007633588,4.36666666666667,0,0
"144","Biochemical Oxygen","2001",3.56894736842105,3.22255813953488,0,0
"145","Biochemical Oxygen","2002",3.85872093023256,3.22340425531915,0,0
"146","Biochemical Oxygen","2003",2.71706586826347,1.98829268292683,0,0
"147","Biochemical Oxygen","2004",2.98352272727273,2.31627906976744,0,0
"148","Biochemical Oxygen","2005",2.55299019607843,2.52916666666667,0,0
"149","Biochemical Oxygen","2006",2.35190476190476,2.79583333333333,0,0
"150","Biochemical Oxygen","2007",2.46521264367816,2.55479166666667,0,0
"151","Biochemical Oxygen","2008",2.32604395604396,2.7875,0,0
"152","Biochemical Oxygen","2009",2.3157671957672,2.41349206349206,4.75833333333333,4.60545454545455
"153","Biochemical Oxygen","2010",2.15443113772455,2.15516666666667,3.01333333333333,4.29916666666667
"154","Biochemical Oxygen","2011",1.87415094339623,2.1877027027027,4.91916666666667,3.08181818181818
"155","Biochemical Oxygen","2012",2.34127071823204,2.47222222222222,3.64454545454545,2.6925
"156","Biochemical Oxygen","2013",1.95826086956522,2.43281690140845,3.18230769230769,4.0125
"157","Biochemical Oxygen","2014",1.95641148325359,2.16594594594595,5.51330769230769,3.47583333333333
"158","Biochemical Oxygen","2015",1.86339534883721,2.16344594594595,6.89333333333333,3.08181818181818
"159","Biochemical Oxygen","2016",1.87943127962085,1.72878378378378,10.1591666666667,3.64545454545455
"160","Boron","2012",34.75,36.8,0,0
"161","Cadmium","1998",0.793269230769231,0.579473684210526,0,0
"162","Cadmium","1999",2.65060606060606,2.90679245283019,0,0
"163","Cadmium","2000",1.76453237410072,1.35,0,0
"164","Cadmium","2001",3.42463917525773,4.57285714285714,0,0
"165","Cadmium","2002",0.911071428571429,0.926216216216216,0,0
"166","Cadmium","2003",1.60109433962264,2.37092682926829,0,0
"167","Cadmium","2004",1.33012365591398,0.4739375,0,0
"168","Cadmium","2005",2.62646626404494,0.812975609756098,0,0
"169","Cadmium","2006",1.23284472049689,0.357075,0,0
"170","Cadmium","2007",1.93326519337017,0.5115625,0,0
"171","Cadmium","2008",1.06138775510204,0.906533333333333,0,0
"172","Cadmium","2009",0.984516129032258,1.61409090909091,0,0.3
"173","Cadmium","2010",0.669837795275591,0.244666666666667,0.333333333333333,3.68
"174","Cadmium","2011",0.501008527131783,0.105909090909091,0.25,1.798
"175","Cadmium","2012",0.259511666666667,0.16,0,0.689166666666667
"176","Cadmium","2013",0.0577078431372549,0,0,0.365454545454545
"177","Cadmium","2014",0.0308481012658228,0.0243478260869565,0,0.0928571428571429
"178","Cadmium","2015",0.0147222222222222,0.00475,0,0.352
"179","Cadmium","2016",0.12178375,0.257505769230769,0,0
"180","Calcium","1998",56.3193137254902,60.4583333333333,0,0
"181","Calcium","1999",60.6815748031496,61.9395918367347,0,0
"182","Calcium","2000",59.9954198473282,60.8395833333333,0,0
"183","Calcium","2001",60.2956140350877,62.1906976744186,0,0
"184","Calcium","2002",53.0383157894737,53.9482,0,0
"185","Calcium","2003",53.9492222222222,54.6708333333333,0,0
"186","Calcium","2004",48.8077564102564,45.8283720930233,0,0
"187","Calcium","2005",51.5136309285714,52.3472915625,0,0
"188","Calcium","2006",54.4776363636364,60.0270833333333,0,0
"189","Calcium","2007",54.7841891891892,51.9104166666667,0,0
"190","Calcium","2008",54.1597419354839,51.6279166666667,0,0
"191","Calcium","2009",51.1488888888889,51.506,0,51.79
"192","Calcium","2010",53.629375,53.537,110.8,57.0291666666667
"193","Calcium","2011",45.0228712871287,51.8442592592593,0,50.625
"194","Calcium","2012",55.5132203389831,50.5985,0,49.77175
"195","Calcium","2013",55.0193798449612,54.9717857142857,89.5708333333333,58.2633333333333
"196","Calcium","2014",49.9952564102564,50.8291666666667,78.15,64.635
"197","Calcium","2015",51.4719847328244,51.5926666666667,86.0649166666667,55.3125
"198","Calcium","2016",52.19325,53.5686885245902,87.6610833333333,47.068
"199","Carbonates","2005",41.4000015,40.2000016,0,0
"200","Carbonates","2007",14.1528571428571,7.5,0,0
"201","Carbonates","2008",10.5828571428571,13.845,0,0
"202","Carbonates","2015",0,140.3,0,0
"203","Cesium","1998",0.00980392156862745,0,0,0
"204","Chemical Oxygen Demand (Cr)","1998",9.70445544554456,5.32222222222222,0,0
"205","Chemical Oxygen Demand (Cr)","1999",18.1564423076923,24.6121951219512,0,0
"206","Chemical Oxygen Demand (Cr)","2000",19.1022900763359,25.83125,0,0
"207","Chemical Oxygen Demand (Cr)","2001",16.7745283018868,18.0860465116279,0,0
"208","Chemical Oxygen Demand (Cr)","2002",24.8916030534351,33.4418604651163,0,0
"209","Chemical Oxygen Demand (Cr)","2003",15.2323728813559,20.8181818181818,0,0
"210","Chemical Oxygen Demand (Cr)","2004",22.2113714285714,32.445,0,0
"211","Chemical Oxygen Demand (Cr)","2005",9.86310340229885,0,0,0
"212","Chemical Oxygen Demand (Cr)","2006",18.9570086206897,23.8608695652174,0,0
"213","Chemical Oxygen Demand (Cr)","2007",21.9968831168831,33.8382978723404,0,0
"214","Chemical Oxygen Demand (Cr)","2008",21.7671270718232,32.2334042553192,0,0
"215","Chemical Oxygen Demand (Cr)","2009",19.0510752688172,22.3298412698413,48.3383333333333,26.301
"216","Chemical Oxygen Demand (Cr)","2010",19.9892700729927,23.7688333333333,63.2041666666667,21.5875
"217","Chemical Oxygen Demand (Cr)","2011",18.643935483871,18.5165333333333,58.0772727272727,16.0575
"218","Chemical Oxygen Demand (Cr)","2012",20.0484328358209,19.3355555555556,53.1181818181818,23.2733333333333
"219","Chemical Oxygen Demand (Cr)","2013",21.5657894736842,25.3196721311475,68.6462307692308,24.7475
"220","Chemical Oxygen Demand (Cr)","2014",17.8665359477124,17.0933333333333,39.1702307692308,31.1583333333333
"221","Chemical Oxygen Demand (Cr)","2015",20.336641221374,15.242,60.0265,29.425
"222","Chemical Oxygen Demand (Cr)","2016",20.0693129770992,18.3226229508197,83.72325,38.2818181818182
"223","Chemical Oxygen Demand (Mn)","1998",4.87137254901961,5.85388888888889,0,0
"224","Chemical Oxygen Demand (Mn)","1999",6.55031496062992,6.89183673469388,0,0
"225","Chemical Oxygen Demand (Mn)","2000",6.28167938931298,6.67916666666667,0,0
"226","Chemical Oxygen Demand (Mn)","2001",5.10421052631579,4.54325581395349,0,0
"227","Chemical Oxygen Demand (Mn)","2002",5.9724861878453,5.85957446808511,0,0
"228","Chemical Oxygen Demand (Mn)","2003",5.27361581920904,5.73931818181818,0,0
"229","Chemical Oxygen Demand (Mn)","2004",4.97493670886076,4.74418604651163,0,0
"230","Chemical Oxygen Demand (Mn)","2005",4.26091891891892,4.11463414634146,0,0
"231","Chemical Oxygen Demand (Mn)","2006",4.21825136612022,4.75229166666667,0,0
"232","Chemical Oxygen Demand (Mn)","2007",4.16283783783784,4.77833333333333,0,0
"233","Chemical Oxygen Demand (Mn)","2008",3.64062111801242,4.15729166666667,0,0
"234","Chemical Oxygen Demand (Mn)","2009",3.37044871794872,3.84920634920635,8.16083333333333,11.2045454545455
"235","Chemical Oxygen Demand (Mn)","2010",3.37923664122137,3.82933333333333,7.21,10.0191666666667
"236","Chemical Oxygen Demand (Mn)","2011",3.37529032258064,3.2208,6.02,5.69833333333333
"237","Chemical Oxygen Demand (Mn)","2012",4.075390625,3.97814285714286,0,7.96641666666667
"238","Chemical Oxygen Demand (Mn)","2013",3.83187969924812,4.51032786885246,5.60538461538462,5.72
"239","Chemical Oxygen Demand (Mn)","2014",3.63023489932886,4.28537037037037,8.31846153846154,5.38461538461539
"240","Chemical Oxygen Demand (Mn)","2015",3.84038167938931,4.65290909090909,5.14525,5.44444444444444
"241","Chemical Oxygen Demand (Mn)","2016",3.74760683760684,4.60614035087719,6.53311111111111,6.15454545454545
"242","Chlorides","1998",31.8343137254902,48.9788888888889,0,0
"243","Chlorides","1999",39.067874015748,42.6008163265306,0,0
"244","Chlorides","2000",39.5045801526718,50.2166666666667,0,0
"245","Chlorides","2001",34.864298245614,43.0713953488372,0,0
"246","Chlorides","2002",33.8407368421053,55.316,0,0
"247","Chlorides","2003",31.0356084656085,44.1229166666667,0,0
"248","Chlorides","2004",30.5319018404908,37.6627906976744,0,0
"249","Chlorides","2005",39.4327084635417,81.7416671458333,0,0
"250","Chlorides","2006",34.6722051282051,50.1835416666667,0,0
"251","Chlorides","2007",30.6977575757576,41.014375,0,0
"252","Chlorides","2008",28.9742580645161,38.471875,0,0
"253","Chlorides","2009",33.3798823529412,49.1968518518519,243.26,64.4444444444444
"254","Chlorides","2010",33.0045,34.65,190.9,90.8808333333333
"255","Chlorides","2011",30.3473469387755,29.8252380952381,137.2,70.5090909090909
"256","Chlorides","2012",28.31712,29.1755769230769,157.5,50.3516666666667
"257","Chlorides","2013",31.4627795275591,54.575,218.323666666667,76.6976923076923
"258","Chlorides","2014",25.4167692307692,61.8386666666667,259.539818181818,102.16375
"259","Chlorides","2015",24.8357615384615,43.4590163934426,185.438916666667,76.8533333333333
"260","Chlorides","2016",25.096213740458,34.5527868852459,168.56475,63.5555555555556
"261","Chlorodinine","2014",0.244728,0.253651162790698,0,0
"262","Chlorodinine","2015",0.249889908256881,0.248,0,0
"263","Chlorodinine","2016",0.0307413793103448,0.0298,0,0
"264","Chromium","1998",10.9673076923077,20.3578947368421,0,0
"265","Chromium","1999",11.6360902255639,12.9437735849057,0,0
"266","Chromium","2000",15.3043165467626,16.6844230769231,0,0
"267","Chromium","2001",16.0614414414414,16.2088095238095,0,0
"268","Chromium","2002",8.71510791366907,8.89666666666667,0,0
"269","Chromium","2003",4.72339506172839,3.26788636363636,0,0
"270","Chromium","2004",3.16069565217391,3.27777083333333,0,0
"271","Chromium","2005",2.70312688832487,2.9116875,0,0
"272","Chromium","2006",2.51624102564103,2.32829166666667,0,0
"273","Chromium","2007",3.81902762430939,3.31585416666667,0,0
"274","Chromium","2008",3.00326530612245,3.585,0,0
"275","Chromium","2009",4.9291935483871,5.30227272727273,1.025,14.6
"276","Chromium","2010",5.67469133858268,4.22931034482759,1.68125,13.7272727272727
"277","Chromium","2011",2.89504108527132,2.57142857142857,3.56,18.2727272727273
"278","Chromium","2012",3.43312333333333,1.1,0,19.75
"279","Chromium","2013",1.12845098039216,0,0,2.37333333333333
"280","Chromium","2014",1.22744303797468,1.10917391304348,0,0.344285714285714
"281","Chromium","2015",1.82325,1.48641666666667,0,0.632
"282","Chromium","2016",2.20444444444444,1.63125,0,0
"283","Chrysene","2008",0.003,0,0,0
"284","Chrysene","2009",0.003,0,0,0
"285","Copper","1998",15.7701923076923,22.4052631578947,0,0
"286","Copper","1999",22.9375939849624,33.637358490566,0,0
"287","Copper","2000",24.7712949640288,28.9888461538462,0,0
"288","Copper","2001",22.7472972972973,23.935,0,0
"289","Copper","2002",24.4245714285714,21.7537837837838,0,0
"290","Copper","2003",18.9446878980892,14.205,0,0
"291","Copper","2004",10.7179777777778,9.59159574468085,0,0
"292","Copper","2005",11.4174314923858,13.3779375208333,0,0
"293","Copper","2006",8.39942051282051,11.1026041666667,0,0
"294","Copper","2007",11.6866574585635,10.9964166666667,0,0
